text_key,hepexplorer,safetyhistogram,safetyoutlierexplorer,safetyshiftplot,safetyresultsovertime,paneledoutlierexplorer,safetydeltadelta
id_col,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
value_col,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
measure_col,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
measure_values--ALT,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
measure_values--AST,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
measure_values--TB,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
measure_values--ALP,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
normal_col_low,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
normal_col_high,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
studyday_col,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
visit_col,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
visitn_col,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
filters,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
group_cols,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
baseline--value_col,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
baseline--values,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
analysisFlag--value_col,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
analysisFlag--values,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
x_options,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
y_options,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
visit_window,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
r_ratio_filter,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
r_ratio_cut,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
showTitle,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
warningText,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
unit_col,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
start_value,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
details,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
missingValues,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
visits_without_data,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
unscheduled_visits,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
unscheduled_visit_pattern,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
